Date,Venue,Home.Team,Away.Team,Home.Score,Away.Score,Home.Margin,Away.Margin,Home.Win.Odds,Away.Win.Odds,Home.Line.Odds,Away.Line.Odds,Round,Season
18/7/10,Domain,Fremantle,Melbourne,82,71,11,-11,1.2,4.62,-29.5,29.5,16,2010
23/7/10,Marvel,St Kilda,Hawthorn,87,87,0,0,1.68,2.2,-6.5,6.5,17,2010
24/7/10,GMHBA,Geelong,Brisbane,127,64,63,-63,1.05,10.25,-51.5,51.5,17,2010
24/7/10,M.C.G.,Collingwood,Richmond,127,45,82,-82,1.1,7.1,-41.5,41.5,17,2010
24/7/10,Domain,West Coast,Carlton,83,109,-26,26,1.95,1.87,1.5,-1.5,17,2010
24/7/10,Marvel,North Melbourne,Essendon,119,122,-3,3,1.46,2.75,-15.5,15.5,17,2010
25/7/10,Marvel,Western Bulldogs,Fremantle,158,76,82,-82,1.3,3.55,-22.5,22.5,17,2010
25/7/10,M.C.G.,Melbourne,Sydney,142,69,73,-73,2.33,1.61,9.5,-9.5,17,2010
25/7/10,AAMI,Port Adelaide,Adelaide,88,69,19,-19,3.29,1.34,20.5,-20.5,17,2010
30/7/10,Marvel,Essendon,St Kilda,108,75,33,-33,5.12,1.17,31.5,-31.5,18,2010
31/7/10,M.C.G.,Collingwood,Carlton,105,57,48,-48,1.19,4.77,-30.5,30.5,18,2010
31/7/10,AAMI,Port Adelaide,Hawthorn,92,84,8,-8,3.12,1.37,19.5,-19.5,18,2010
31/7/10,Gabba,Brisbane,Melbourne,64,74,-10,10,1.8,2.03,-3.5,3.5,18,2010
31/7/10,ANZ,Sydney,Geelong,72,125,-53,53,4.14,1.24,25.5,-25.5,18,2010
1/8/10,M.C.G.,Richmond,Adelaide,100,80,20,-20,2.27,1.64,8.5,-8.5,18,2010
1/8/10,Marvel,Western Bulldogs,North Melbourne,143,72,71,-71,1.15,5.55,-33.5,33.5,18,2010
1/8/10,Domain,Fremantle,West Coast,160,85,75,-75,1.38,3.07,-19.5,19.5,18,2010
6/8/10,M.C.G.,Essendon,Carlton,73,149,-76,76,2.02,1.8,2.5,-2.5,19,2010
7/8/10,Marvel,North Melbourne,Fremantle,123,69,54,-54,1.83,1.99,-2.5,2.5,19,2010
7/8/10,S.C.G.,Sydney,Hawthorn,129,85,44,-44,2.09,1.75,5.5,-5.5,19,2010
7/8/10,Domain,West Coast,Brisbane,65,70,-5,5,1.64,2.31,-8.5,8.5,19,2010
7/8/10,M.C.G.,Geelong,Collingwood,85,107,-22,22,1.8,2.05,-3.5,3.5,19,2010
8/8/10,Marvel,St Kilda,Port Adelaide,151,57,94,-94,1.2,4.6,-29.5,29.5,19,2010
8/8/10,M.C.G.,Melbourne,Richmond,109,80,29,-29,1.51,2.58,-13.5,13.5,19,2010
8/8/10,AAMI,Adelaide,Western Bulldogs,53,61,-8,8,3.42,1.32,21.5,-21.5,19,2010
13/8/10,M.C.G.,Essendon,Collingwood,64,162,-98,98,7.1,1.1,40.5,-40.5,20,2010
14/8/10,Domain,Fremantle,Sydney,87,96,-9,9,1.61,2.33,-9.5,9.5,20,2010
14/8/10,M.C.G.,Carlton,Richmond,156,67,89,-89,1.31,3.49,-21.5,21.5,20,2010
14/8/10,Marvel,Western Bulldogs,Geelong,60,161,-101,101,2.51,1.55,11.5,-11.5,20,2010
14/8/10,AAMI,Port Adelaide,West Coast,61,60,1,-1,1.37,3.19,-19.5,19.5,20,2010
15/8/10,Gabba,Brisbane,Adelaide,97,104,-7,7,2.05,1.78,3.5,-3.5,20,2010
15/8/10,M.C.G.,Hawthorn,Melbourne,99,78,21,-21,1.67,2.21,-7.5,7.5,20,2010
15/8/10,Marvel,North Melbourne,St Kilda,63,115,-52,52,4.1,1.24,25.5,-25.5,20,2010
20/8/10,Marvel,Geelong,Carlton,121,79,42,-42,1.19,4.77,-29.5,29.5,21,2010
21/8/10,UTAS,Hawthorn,Fremantle,155,39,116,-116,1.09,7.55,-42.5,42.5,21,2010
21/8/10,Marvel,St Kilda,Richmond,115,94,21,-21,1.08,8,-44.5,44.5,21,2010
21/8/10,S.C.G.,Sydney,Western Bulldogs,114,70,44,-44,2.23,1.68,6.5,-6.5,21,2010
21/8/10,M.C.G.,Collingwood,Adelaide,54,51,3,-3,1.04,12.2,-54.5,54.5,21,2010
22/8/10,AAMI,Port Adelaide,Melbourne,112,83,29,-29,2,1.82,2.5,-2.5,21,2010
22/8/10,Marvel,Essendon,Brisbane,68,95,-27,27,1.63,2.29,-8.5,8.5,21,2010
22/8/10,Domain,West Coast,North Melbourne,94,110,-16,16,2.1,1.74,4.5,-4.5,21,2010
27/8/10,Domain,Fremantle,Carlton,93,87,6,-6,1.55,2.51,-11.5,11.5,22,2010
28/8/10,GMHBA,Geelong,West Coast,112,68,44,-44,1.01,16.5,-71.5,71.5,22,2010
28/8/10,M.C.G.,Hawthorn,Collingwood,98,95,3,-3,2.61,1.5,13.5,-13.5,22,2010
28/8/10,AAMI,Adelaide,St Kilda,65,37,28,-28,2.47,1.55,12.5,-12.5,22,2010
28/8/10,Marvel,Western Bulldogs,Essendon,107,78,29,-29,1.2,4.75,-29.5,29.5,22,2010
28/8/10,Gabba,Brisbane,Sydney,68,106,-38,38,3.19,1.37,19.5,-19.5,22,2010
29/8/10,Marvel,Richmond,Port Adelaide,112,122,-10,10,1.65,2.25,-8.5,8.5,22,2010
29/8/10,M.C.G.,Melbourne,North Melbourne,103,113,-10,10,1.95,1.89,1.5,-1.5,22,2010
3/9/10,M.C.G.,Geelong,St Kilda,79,83,-4,4,1.36,3.2,-18.5,18.5,23,2010
4/9/10,Domain,Fremantle,Hawthorn,94,64,30,-30,2.23,1.67,6.5,-6.5,23,2010
4/9/10,M.C.G.,Collingwood,Western Bulldogs,124,62,62,-62,1.25,4.11,-24.5,24.5,23,2010
5/9/10,ANZ,Sydney,Carlton,99,94,5,-5,1.46,2.79,-15.5,15.5,23,2010
10/9/10,M.C.G.,Geelong,Fremantle,135,66,69,-69,1.12,6.45,-38.5,38.5,24,2010
11/9/10,M.C.G.,Western Bulldogs,Sydney,77,72,5,-5,1.97,1.86,1.5,-1.5,24,2010
17/9/10,M.C.G.,Collingwood,Geelong,120,79,41,-41,1.85,1.97,-2.5,2.5,25,2010
