"","X","Date","Match_id","Season","Team","Opposition","Status","Venue","Round","results","Odds","line_Odds","Opp_Odds","Opp_lineOdds","Tips","Loss_prob","Win_Prob","Actual","Team_predicted","margin_estimate_1","margin_estimate_2","Tip_Outcome","Actual.Margin"
"62",62,"3/7/20",9965,2020,"Essendon","Collingwood","Away","M.C.G.","Round 5",999,2.9,13.5,1.42,-13.5,0,0.65,0.35,1,"Collingwood",-19,-11,0,15
"63",63,"4/7/20",9966,2020,"Sydney","West Coast","Away","Carrara","Round 5",999,2.4,8.5,1.58,-8.5,0,0.61,0.39,0,"West Coast",-14,-13,1,-34
"64",64,"4/7/20",9967,2020,"Gold Coast","Geelong","Away","Kardinia Park","Round 5",999,3.4,19.5,1.32,-19.5,0,0.72,0.28,0,"Geelong",-27,-27,1,-37
"65",65,"4/7/20",9968,2020,"Port Adelaide","Brisbane","Away","Gabba","Round 5",999,2,1.5,1.81,-1.5,1,0.49,0.51,0,"Port Adelaide",3,6,0,-49
"66",66,"4/7/20",9969,2020,"North Melbourne","Western Bulldogs","Away","Docklands","Round 5",999,2.2,5.5,1.68,-5.5,0,0.55,0.45,0,"Western Bulldogs",-6,-5,1,-37
"67",67,"5/7/20",9970,2020,"Fremantle","Adelaide","Away","Carrara","Round 5",999,2.4,-9.5,2.4,9.5,1,0.45,0.55,1,"Fremantle",8,8,1,20
"68",68,"5/7/20",9971,2020,"Richmond","Melbourne","Away","M.C.G.","Round 5",999,1.54,-10.5,2.5,10.5,1,0.4,0.6,1,"Richmond",14,13,1,27
"69",69,"5/7/20",9972,2020,"Hawthorn","GWS","Away","Sydney Showground","Round 5",999,2.3,7.5,1.62,-7.5,0,0.6,0.4,0,"GWS",-12,-12,1,-34
"70",70,"9/7/20",9973,2020,"Geelong","Brisbane","Home","S.C.G.","Round 6",999,2.25,7.5,1.65,-7.5,0,0.6,0.4,1,"Brisbane",-11,-4,0,27
"71",71,"10/7/20",9974,2020,"Collingwood","Hawthorn","Home","Sydney¬†Showground","Round 6",999,1.65,-6.5,2.25,6.5,1,0.47,0.53,1,"Collingwood",6,6,1,32
"72",72,"11/7/20",9975,2020,"Fremantle","St Kilda","Home","Carrara","Round 6",999,3.25,16.5,1.35,-16.5,0,0.67,0.33,1,"St Kilda",-21,-13,0,6
"73",73,"11/7/20",9976,2020,"West Coast","Adelaide","Home","Gabba","Round 6",999,1.13,-31.5,5.57,31.5,1,0.22,0.78,1,"West Coast",38,29,1,33
"74",74,"11/7/20",9977,2020,"Melbourne","Gold Coast","Home","Sydney¬†Showground","Round 6",999,1.66,-5.5,2.18,5.5,1,0.46,0.54,1,"Melbourne",6,7,1,17
